Filename,Execution Time (s),Number of Variables,Satisfiability
data_kSAT_hberens.cnf,3.933906555175781e-05,4,U
data_kSAT_hberens.cnf,2.384185791015625e-05,4,S
data_kSAT_hberens.cnf,3.0517578125e-05,4,U
data_kSAT_hberens.cnf,1.5974044799804688e-05,4,S
data_kSAT_hberens.cnf,1.0251998901367188e-05,4,S
data_kSAT_hberens.cnf,1.1205673217773438e-05,4,S
data_kSAT_hberens.cnf,1.5497207641601562e-05,4,S
data_kSAT_hberens.cnf,1.9788742065429688e-05,4,U
data_kSAT_hberens.cnf,2.4557113647460938e-05,4,U
data_kSAT_hberens.cnf,2.5510787963867188e-05,4,U
data_kSAT_hberens.cnf,6.532669067382812e-05,8,U
data_kSAT_hberens.cnf,0.0001270771026611328,8,U
data_kSAT_hberens.cnf,2.6226043701171875e-05,8,S
data_kSAT_hberens.cnf,1.7881393432617188e-05,8,S
data_kSAT_hberens.cnf,5.841255187988281e-05,8,U
data_kSAT_hberens.cnf,0.00010156631469726562,8,U
data_kSAT_hberens.cnf,4.029273986816406e-05,8,S
data_kSAT_hberens.cnf,2.47955322265625e-05,8,U
data_kSAT_hberens.cnf,5.3882598876953125e-05,8,S
data_kSAT_hberens.cnf,2.0742416381835938e-05,8,S
data_kSAT_hberens.cnf,6.365776062011719e-05,12,S
data_kSAT_hberens.cnf,0.0005023479461669922,12,S
data_kSAT_hberens.cnf,0.0002646446228027344,12,U
data_kSAT_hberens.cnf,0.000133514404296875,12,U
data_kSAT_hberens.cnf,5.555152893066406e-05,12,S
data_kSAT_hberens.cnf,0.00023317337036132812,12,U
data_kSAT_hberens.cnf,5.888938903808594e-05,12,U
data_kSAT_hberens.cnf,0.00022530555725097656,12,S
data_kSAT_hberens.cnf,0.00027370452880859375,12,U
data_kSAT_hberens.cnf,9.965896606445312e-05,12,S
data_kSAT_hberens.cnf,0.0004019737243652344,16,S
data_kSAT_hberens.cnf,0.0004413127899169922,16,U
data_kSAT_hberens.cnf,0.00030612945556640625,16,S
data_kSAT_hberens.cnf,9.608268737792969e-05,16,S
data_kSAT_hberens.cnf,0.0001595020294189453,16,U
data_kSAT_hberens.cnf,0.00031185150146484375,16,S
data_kSAT_hberens.cnf,0.00036215782165527344,16,U
data_kSAT_hberens.cnf,0.0012238025665283203,16,U
data_kSAT_hberens.cnf,0.00015234947204589844,16,S
data_kSAT_hberens.cnf,0.0007166862487792969,16,U
data_kSAT_hberens.cnf,0.0005424022674560547,18,U
data_kSAT_hberens.cnf,0.0008983612060546875,18,U
data_kSAT_hberens.cnf,0.00015616416931152344,18,U
data_kSAT_hberens.cnf,0.0006718635559082031,18,U
data_kSAT_hberens.cnf,0.000499725341796875,18,U
data_kSAT_hberens.cnf,0.0002162456512451172,18,U
data_kSAT_hberens.cnf,0.00047135353088378906,18,U
data_kSAT_hberens.cnf,0.0001895427703857422,18,S
data_kSAT_hberens.cnf,0.00125885009765625,18,U
data_kSAT_hberens.cnf,0.0005118846893310547,18,S
data_kSAT_hberens.cnf,0.000518798828125,20,U
data_kSAT_hberens.cnf,0.00022482872009277344,20,U
